RXangle,TXangle,RSSI_avg,RSSI_max,Num_of_Samples
44,7,-72.3467,0.0,4005092
45,7,-69.7069,0.0,4004000
46,7,-61.861,0.0,4005092
47,7,-55.98,0.0,4003636
48,7,-58.5198,0.0,4005092
49,7,-63.5762,0.0,4003272
50,7,-61.8925,0.0,4005092
51,7,-62.36,0.0,4005820
52,7,-72.9164,0.0,4005092
53,7,-71.9236,0.0,4005092
54,7,-74.5779,0.0,4005092
55,7,-71.7499,0.0,4003272
56,7,-70.9271,0.0,4005092
57,7,-73.5174,0.0,4003636
58,7,-74.6313,0.0,4005092
59,7,-73.3922,0.0,4004000
60,7,-75.3102,0.0,4005092
61,7,-73.2309,0.0,4004364
62,7,-72.8101,0.0,4005092
63,7,-71.6323,0.0,4003272
